text,pilot,file
"CQ1. What parallels are there between the composition of music and the use of language, e.g. in the use of rhetorical delivery?","",file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%232_OriginsAndForm.md
"CQ1. What was the composer’s network (patrons, institutions …)?",MEETUPS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sophia:%20Musicologist/Sophia%231_MusiciansAndTheirEnvironment.md
"CQ1.1 What are the aspects that characterize an official source? E.g. context of production, creator’s role, relation between the source and political or national events",CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
"CQ1.3 What are the aspects that characterize the source at hand as trustworthy? E.g. context of production, creator’s occupation",CHILD,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Ortenz:%20Music%20Historian/Ortenz%231_MusicAndChildhood.md
"CQ10: How did certain repertoires (e.g., Italian opera) circulate?",TUNES,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Mark:%20Computational%20Musicologist/Mark%231_FolkMusic.md
"CQ11: What did people ‘make of’, how  did they react to, e.g. music?",MEETUPS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/David:%20Music%20Historian/David%231_MusicHistorian.md
"CQ12: Inspect the degree to which metadata fields have been filled across the collections, see trends and gaps?",INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/William:%20Curator%20Europeana/William%231EuropeanFolkMusic.md
"CQ12: Is there a person mentioned in the excerpt of the lyrics? If yes, what background information is available for him/her?",INTERLINK,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Sonia:%20Playlist%20User/Sonia%231_ExplorationMode.md
"CQ14: Can a set of bells be played electrically, manually, or both?",BELLS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/Keoma:%20Architect/Keoma%231_RestorationAndSoundPractices.md
"CQ14: What is the cause of a change, e.g. increasing number of concerts over time?",MEETUPS,file:///Users/ed4565/Development/polifonia/wp4-competency-questions/./stories/David:%20Music%20Historian/David%231_MusicHistorian.md
